name,latitude,longitude,address,place_id,business_status,types,rating,user_ratings_total,queried_type
Palash Fuels,23.3351017,85.3425121,"LHS on Doranda, Namkum Main Rd, Bara Ghaghra, Ranchi",ChIJyyq-7wnh9DkRGJ7owm4uCZc,OPERATIONAL,"gas_station, point_of_interest, establishment",5.0,1.0,gas_station
IndianOil,23.372123,85.33827099999999,"Hatma, Lalpur, Ranchi",ChIJ47QLKqPh9DkRD-_Ddic-U_E,OPERATIONAL,"gas_station, point_of_interest, establishment",4.2,347.0,gas_station
Hindustan Petroleum Corporation Limited,23.3730288,85.3553639,"Ground Floor, Khorha Toli, Kokar, Ranchi",ChIJvbcG_Nfj9DkRGrTYIJynYaw,OPERATIONAL,"gas_station, point_of_interest, establishment",3.8,701.0,gas_station
Hindustan Petroleum Corporation Limited,23.3581935,85.33759909999999,"Ground Floor, Bahu Bazar Rd, Bahu Bazar, Konka, Kathartoli, Ranchi",ChIJtR4fWp7h9DkR57rOSsY19cs,OPERATIONAL,"gas_station, point_of_interest, establishment",3.8,365.0,gas_station
IndianOil,23.371553,85.328721,"Hazaribagh Rd, Tharpakhna, Ranchi",ChIJB0pwDw7h9DkRGcJD0F50WWw,OPERATIONAL,"gas_station, point_of_interest, establishment",3.3,170.0,gas_station
IndianOil,23.2693757,85.25865399999999,"Ground Floor, Ranchi Ring Rd, Sithiyo, Ranchi",ChIJCflHfTEg9TkRtFJIBgQQk0A,OPERATIONAL,"gas_station, point_of_interest, establishment",4.0,140.0,gas_station
Shakambari Fuels,23.3902458,85.3144021,"160, Jawahar Nagar, Hatma, Ranchi",ChIJAyMEI73h9DkR-mrcCFkJLOg,OPERATIONAL,"gas_station, point_of_interest, establishment",4.3,287.0,gas_station
Jio-bp,23.3224526,85.3048175,"NEAR CHECK POST, SECTOR 2, HEC Colony, POST, Dhurwa, Ranchi",ChIJMZ3-vi_g9DkRj-xe-ZhP9B8,OPERATIONAL,"gas_station, point_of_interest, establishment",3.9,977.0,gas_station
"Chirag Filling Station, Bharat Petrolatum",23.2544236,85.3002036,"Satrangi, Tupudana, Ranchi",ChIJSdUKPiAf9TkRRR-alDXm_IY,OPERATIONAL,"gas_station, point_of_interest, establishment",3.8,300.0,gas_station
Bharat Petroleum,23.3557104,85.324998,"NH-33, KOKAR, Ranchi",ChIJndWI1Azh9DkRkFz3ZpzilDw,OPERATIONAL,"gas_station, point_of_interest, establishment",4.0,44.0,gas_station
